cohort,review_id,window_id,cluster,strict_visible_phase,prediction_status,version,method,tolerance_seconds,tp,fp,fn,precision,recall,f1
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R3,frozen_baseline,0.3,30,2,1,0.9375,0.967741935483871,0.9523809523809523
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R2,frozen_baseline,0.5,31,1,1,0.96875,0.96875,0.96875
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R3,frozen_baseline,0.5,31,1,0,0.96875,1.0,0.9841269841269841
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R2,frozen_baseline,0.75,31,1,1,0.96875,0.96875,0.96875
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R3,frozen_baseline,0.75,31,1,0,0.96875,1.0,0.9841269841269841
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R2,frozen_baseline,1.0,31,1,1,0.96875,0.96875,0.96875
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R3,frozen_baseline,1.0,31,1,0,0.96875,1.0,0.9841269841269841
lindian49,R3-08,bs211063_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T080235n211063\20230807T080235n211063.MP4,True,ok,R3,previously_rejected_local_guard,0.3,30,2,1,0.9375,0.967741935483871,0.9523809523809523
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R2,frozen_baseline,0.1,1,10,12,0.09090909090909091,0.07692307692307693,0.08333333333333333
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R3,frozen_baseline,0.1,1,10,11,0.09090909090909091,0.08333333333333333,0.08695652173913043
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R2,frozen_baseline,0.2,3,8,10,0.2727272727272727,0.23076923076923078,0.25
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R3,frozen_baseline,0.2,2,9,10,0.18181818181818182,0.16666666666666666,0.17391304347826086
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R2,frozen_baseline,0.3,6,5,7,0.5454545454545454,0.46153846153846156,0.5
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R3,frozen_baseline,0.3,4,7,8,0.36363636363636365,0.3333333333333333,0.34782608695652173
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R2,frozen_baseline,0.5,8,3,5,0.7272727272727273,0.6153846153846154,0.6666666666666666
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R3,frozen_baseline,0.5,8,3,4,0.7272727272727273,0.6666666666666666,0.6956521739130435
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R2,frozen_baseline,0.75,9,2,4,0.8181818181818182,0.6923076923076923,0.75
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R3,frozen_baseline,0.75,8,3,4,0.7272727272727273,0.6666666666666666,0.6956521739130435
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R2,frozen_baseline,1.0,10,1,3,0.9090909090909091,0.7692307692307693,0.8333333333333334
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R3,frozen_baseline,1.0,9,2,3,0.8181818181818182,0.75,0.782608695652174
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,1487,True,ok,R3,previously_rejected_local_guard,0.3,4,5,8,0.4444444444444444,0.3333333333333333,0.38095238095238093
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R2,frozen_baseline,0.1,1,7,7,0.125,0.125,0.125
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R3,frozen_baseline,0.1,2,6,8,0.25,0.2,0.2222222222222222
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R2,frozen_baseline,0.2,2,6,6,0.25,0.25,0.25
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R3,frozen_baseline,0.2,2,6,8,0.25,0.2,0.2222222222222222
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R2,frozen_baseline,0.3,4,4,4,0.5,0.5,0.5
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R3,frozen_baseline,0.3,4,4,6,0.5,0.4,0.4444444444444444
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R2,frozen_baseline,0.5,5,3,3,0.625,0.625,0.625
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R3,frozen_baseline,0.5,4,4,6,0.5,0.4,0.4444444444444444
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R2,frozen_baseline,0.75,6,2,2,0.75,0.75,0.75
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R3,frozen_baseline,0.75,6,2,4,0.75,0.6,0.6666666666666666
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R2,frozen_baseline,1.0,6,2,2,0.75,0.75,0.75
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R3,frozen_baseline,1.0,7,1,3,0.875,0.7,0.7777777777777778
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,1428,True,ok,R3,previously_rejected_local_guard,0.3,1,1,9,0.5,0.1,0.16666666666666666
lindian49,R3-12,ns211095_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T082655n211095\20230806T082655n211095.MP4,False,ok,R2,frozen_baseline,0.1,3,23,20,0.11538461538461539,0.13043478260869565,0.12244897959183673
lindian49,R3-12,ns211095_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T082655n211095\20230806T082655n211095.MP4,False,ok,R3,frozen_baseline,0.1,6,20,16,0.23076923076923078,0.2727272727272727,0.25
lindian49,R3-12,ns211095_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T082655n211095\20230806T082655n211095.MP4,False,ok,R2,frozen_baseline,0.2,7,19,16,0.2692307692307692,0.30434782608695654,0.2857142857142857
lindian49,R3-12,ns211095_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T082655n211095\20230806T082655n211095.MP4,False,ok,R3,frozen_baseline,0.2,15,11,7,0.5769230769230769,0.6818181818181818,0.625
lindian49,R3-12,ns211095_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T082655n211095\20230806T082655n211095.MP4,False,ok,R2,frozen_baseline,0.3,16,10,7,0.6153846153846154,0.6956521739130435,0.6530612244897959
lindian49,R3-12,ns211095_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T082655n211095\20230806T082655n211095.MP4,False,ok,R3,frozen_baseline,0.3,18,8,4,0.6923076923076923,0.8181818181818182,0.75
